Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
38,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,it Inter,30,1988,2.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
39,Marco Asensio\Marco-Asensio,es ESP,FWMF,es Real Madrid,23,1996,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
40,Majeed Ashimeru\Majeed-Ashimeru,gh GHA,MFFW,at RB Salzburg,21,1997,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
41,Iyayi Atiemwen\Iyayi-Atiemwen,ng NGA,FW,hr Dinamo Zagreb,23,1996,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
42,Serge Aurier\Serge-Aurier,ci CIV,DF,eng Tottenham,26,1992,5.0,0.20,0.20,0.20,100.0,0.20,0.20,1.00,1.00,11.3,0.00,0.00,0.00,0.02,0.02,0.11,0.18,0.18,Matches
43,Sardar Azmoun\Sardar-Azmoun,ir IRN,FW,ru Zenit,24,1995,5.1,0.39,2.75,1.57,57.1,2.73,1.56,0.14,0.25,16.7,0.00,0.00,0.00,0.61,0.61,0.22,-0.22,-0.22,Matches
44,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,eng Chelsea,29,1989,6.8,0.29,0.59,0.29,50.0,0.59,0.29,0.50,1.00,9.8,0.00,0.00,0.00,0.18,0.18,0.30,0.12,0.12,Matches
45,Ryan Babel\Ryan-Babel,nl NED,FW,tr Galatasaray,32,1986,3.7,0.00,1.08,0.27,25.0,1.08,0.27,0.00,0.00,21.7,0.00,0.00,0.00,0.14,0.14,0.12,-0.14,-0.14,Matches
46,Leon Bailey\Leon-Bailey,jm JAM,FWMF,de Leverkusen,21,1997,1.3,0.00,0.77,0.00,0.0,0.78,0.00,0.00,,14.4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
47,Gareth Bale\Gareth-Bale,wal WAL,FW,es Real Madrid,30,1989,1.3,0.00,4.62,0.00,0.0,4.66,0.00,0.00,,21.9,1.54,0.00,0.00,0.31,0.31,0.06,-0.31,-0.31,Matches
48,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,de Dortmund,20,1999,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
49,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,fr Lille,23,1996,3.1,0.00,2.58,0.32,12.5,2.55,0.32,0.00,0.00,19.5,0.00,0.00,0.00,0.26,0.26,0.10,-0.26,-0.26,Matches
50,Nicolò Barella\Nicolo-Barella,it ITA,MF,it Inter,22,1997,3.2,0.31,1.56,0.31,20.0,1.55,0.31,0.20,1.00,19.6,0.00,0.00,0.00,0.09,0.09,0.06,0.22,0.22,Matches
51,Dmitri Barinov\Dmitri-Barinov,ru RUS,MF,ru Loko Moscow,22,1996,5.0,0.20,1.20,0.20,16.7,1.20,0.20,0.17,1.00,22.1,0.00,0.00,0.00,0.06,0.06,0.06,0.14,0.14,Matches
52,Ross Barkley\Ross-Barkley,eng ENG,FWMF,eng Chelsea,25,1993,1.8,0.00,1.11,0.00,0.0,1.12,0.00,0.00,,25.8,0.56,0.00,0.56,0.50,0.06,0.05,-0.50,-0.06,Matches
53,Wílmar Barrios\Wilmar-Barrios,co COL,MF,ru Zenit,25,1993,6.0,0.00,0.33,0.00,0.0,0.33,0.00,0.00,,27.0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
54,Musa Barrow\Musa-Barrow,gm GAM,FW,it Atalanta,20,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,eng Chelsea,25,1993,1.0,1.00,10.0,5.00,50.0,10.23,5.11,0.10,0.20,12.6,0.00,0.00,0.00,1.70,1.70,0.17,-0.70,-0.70,Matches
56,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,de Leverkusen,31,1988,3.8,0.00,0.53,0.00,0.0,0.52,0.00,0.00,,18.7,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
57,Ömer Bayram\Omer-Bayram,tr TUR,FWMF,tr Galatasaray,28,1991,2.8,0.00,1.43,0.36,25.0,1.43,0.36,0.00,0.00,26.1,0.71,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
58,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,nl Ajax,22,1997,5.0,0.40,1.60,0.40,25.0,1.61,0.40,0.25,1.00,12.2,0.00,0.00,0.00,0.20,0.20,0.13,0.20,0.20,Matches
59,Younès Belhanda\Younes-Belhanda,ma MAR,MF,tr Galatasaray,29,1990,3.4,0.00,1.47,0.29,20.0,1.49,0.30,0.00,0.00,23.0,0.00,0.00,0.00,0.12,0.12,0.07,-0.12,-0.12,Matches
60,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,de Leverkusen,29,1990,4.6,0.00,2.17,0.43,20.0,2.19,0.44,0.00,0.00,20.8,0.00,0.00,0.00,0.07,0.07,0.03,-0.07,-0.07,Matches
61,Lars Bender\Lars-Bender,de GER,DF,de Leverkusen,30,1989,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
62,Sven Bender\Sven-Bender,de GER,DF,de Leverkusen,30,1989,6.0,0.17,0.50,0.33,66.7,0.50,0.33,0.33,0.50,12.7,0.00,0.00,0.00,0.03,0.03,0.07,0.13,0.13,Matches
63,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,it Juventus,22,1997,4.7,0.00,0.21,0.00,0.0,0.21,0.00,0.00,,8.1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
64,Karim Benzema\Karim-Benzema,fr FRA,FW,es Real Madrid,31,1987,7.2,0.69,4.31,1.94,45.2,4.33,1.96,0.16,0.36,12.0,0.00,0.00,0.00,0.76,0.76,0.18,-0.07,-0.07,Matches
65,Yassine Benzia\Yassine-Benzia,dz ALG,MF,gr Olympiacos,24,1994,0.9,0.00,1.11,0.00,0.0,1.14,0.00,0.00,,16.6,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
66,Sander Berge\Sander-Berge,no NOR,MF,be Genk,21,1998,6.0,0.00,0.67,0.33,50.0,0.67,0.33,0.00,0.00,25.1,0.17,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
67,Steven Bergwijn\Steven-Bergwijn,nl NED,MFFW,eng Tottenham,21,1997,1.0,0.00,3.00,1.00,33.3,3.00,1.00,0.00,0.00,13.3,0.00,0.00,0.00,0.20,0.20,0.08,-0.20,-0.20,Matches
68,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MF,it Juventus,25,1994,2.9,0.34,1.72,0.69,40.0,1.71,0.68,0.20,0.50,15.8,0.00,0.00,0.00,0.24,0.24,0.15,0.10,0.10,Matches
69,Juan Bernat\Juan-Bernat,es ESP,DF,fr Paris S-G,26,1993,9.7,0.21,0.41,0.21,50.0,0.41,0.21,0.50,1.00,18.2,0.00,0.00,0.00,0.05,0.05,0.13,0.15,0.15,Matches
70,Antoine Bernede\Antoine-Bernede,fr FRA,MF,at RB Salzburg,20,1999,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
71,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,it Inter,26,1992,2.4,0.00,0.42,0.42,100.0,0.41,0.41,0.00,0.00,14.2,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
72,Daley Blind\Daley-Blind,nl NED,DF,nl Ajax,29,1990,4.7,0.00,0.43,0.21,50.0,0.42,0.21,0.00,0.00,22.6,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
73,Richmond Boakye\Richmond-Boakye,gh GHA,FW,rs Red Star,26,1993,2.1,0.48,2.86,0.48,16.7,2.84,0.47,0.17,1.00,16.6,0.00,0.00,0.00,0.19,0.19,0.07,0.29,0.29,Matches
74,Jérôme Boateng\Jerome-Boateng,de GER,DF,de Bayern Munich,30,1988,6.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
75,Serhiy Bolbat\Serhiy-Bolbat,ua UKR,DF,ua Shakhtar,26,1993,2.7,0.00,0.37,0.00,0.0,0.37,0.00,0.00,,13.5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
76,Theo Bongonda\Theo-Bongonda,be BEL,MFFW,be Genk,23,1995,2.9,0.00,1.72,0.34,20.0,1.74,0.35,0.00,0.00,21.1,0.00,0.00,0.00,0.31,0.31,0.17,-0.31,-0.31,Matches
77,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,it Juventus,32,1987,7.0,0.00,0.29,0.00,0.0,0.29,0.00,0.00,,7.5,0.00,0.00,0.00,0.06,0.06,0.19,-0.06,-0.06,Matches
78,Neto Borges\Neto-Borges,br BRA,DF,be Genk,22,1996,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
79,Jan Bořil\Jan-Boril,cz CZE,DF,cz Slavia Prague,28,1991,6.0,0.17,1.00,0.33,33.3,1.00,0.33,0.17,0.50,20.7,0.00,0.00,0.00,0.05,0.05,0.05,0.12,0.12,Matches
80,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,31,1987,6.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
81,Andreas Bouchalakis\Andreas-Bouchalakis,gr GRE,MF,gr Olympiacos,26,1993,5.3,0.00,0.38,0.00,0.0,0.37,0.00,0.00,,18.5,0.00,0.00,0.00,0.08,0.08,0.18,-0.08,-0.08,Matches
82,Domagoj Bradarić\Domagoj-Bradaric,hr CRO,DF,fr Lille,19,1999,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
83,Julian Brandt\Julian-Brandt,de GER,MFFW,de Dortmund,23,1996,5.4,0.37,2.04,0.74,36.4,2.02,0.73,0.18,0.50,16.9,0.00,0.00,0.00,0.15,0.15,0.07,0.22,0.22,Matches
84,Claudio Bravo\Claudio-Bravo,cl CHI,GK,eng Manchester City,36,1983,1.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
85,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,it Inter,26,1992,5.8,0.00,0.86,0.17,20.0,0.87,0.17,0.00,0.00,23.5,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches
86,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,de Dortmund,20,1998,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
87,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,41,1978,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
88,Mick van Buren\Mick-van-Buren,nl NED,FW,cz Slavia Prague,26,1992,0.5,0.00,2.00,0.00,0.0,1.91,0.00,0.00,,11.0,0.00,0.00,0.00,0.20,0.20,0.09,-0.20,-0.20,Matches
89,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,28,1990,8.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
90,Sergio Busquets\Sergio-Busquets,es ESP,MF,es Barcelona,31,1988,5.6,0.00,0.18,0.00,0.0,0.18,0.00,0.00,,21.1,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
91,Adem Büyük\Adem-Buyuk,tr TUR,FW,tr Galatasaray,31,1987,1.0,1.00,3.00,1.00,33.3,2.90,0.97,0.33,1.00,9.2,0.00,0.00,0.00,0.40,0.40,0.13,0.60,0.60,Matches
92,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Chelsea,37,1981,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
93,Mattia Caldara\Mattia-Caldara,it ITA,DF,it Atalanta,25,1994,2.8,0.00,0.36,0.00,0.0,0.35,0.00,0.00,,13.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
94,José Callejón\Jose-Callejon,es ESP,MFFW,it Napoli,32,1987,6.3,0.00,1.27,0.32,25.0,1.27,0.32,-0.13,-0.50,15.6,0.16,0.16,0.16,0.33,0.22,0.17,-0.33,-0.38,Matches
95,Mohamed Camara\Mohamed-Camara,gn GUI,MF,gr Olympiacos,22,1997,4.6,0.00,2.17,0.22,10.0,2.17,0.22,0.00,0.00,28.3,0.00,0.00,0.00,0.04,0.04,0.02,-0.04,-0.04,Matches
96,Emre Can\Emre-Can,de GER,MF,de Dortmund,25,1994,2.0,0.00,0.50,0.00,0.0,0.51,0.00,0.00,,28.3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
97,José Cañas\Jose-Canas,es ESP,MF,rs Red Star,32,1987,3.5,0.00,0.29,0.29,100.0,0.29,0.29,0.00,0.00,28.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
98,João Cancelo\Joao-Cancelo,pt POR,DF,eng Manchester City,25,1994,6.3,0.00,0.63,0.32,50.0,0.63,0.32,0.00,0.00,20.2,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
99,Antonio Candreva\Antonio-Candreva,it ITA,DF,it Inter,32,1987,4.3,0.23,1.16,0.23,20.0,1.16,0.23,0.20,1.00,20.0,0.23,0.00,0.00,0.09,0.09,0.08,0.14,0.14,Matches
100,Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,fr Lyon,19,2000,3.0,0.00,0.33,0.00,0.0,0.33,0.00,0.00,,22.0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
101,Yannick Carrasco\Yannick-Carrasco,be BEL,MF,es Atlético Madrid,25,1993,1.0,0.00,4.00,1.00,25.0,4.00,1.00,0.00,0.00,21.1,0.00,0.00,0.00,0.10,0.10,0.03,-0.10,-0.10,Matches
102,Dani Carvajal\Dani-Carvajal,es ESP,DF,es Real Madrid,27,1992,6.9,0.00,0.58,0.58,100.0,0.58,0.58,0.00,0.00,21.2,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
103,Casemiro\Casemiro,br BRA,MF,es Real Madrid,27,1992,7.7,0.13,1.43,0.52,36.4,1.44,0.52,0.09,0.25,25.8,0.00,0.00,0.00,0.04,0.04,0.03,0.09,0.09,Matches
104,Timothy Castagne\Timothy-Castagne,be BEL,DF,it Atalanta,23,1995,4.4,0.23,0.91,0.45,50.0,0.91,0.46,0.25,0.50,6.1,0.00,0.00,0.00,0.27,0.27,0.47,-0.05,-0.05,Matches
105,Edinson Cavani\Edinson-Cavani,uy URU,FW,fr Paris S-G,32,1987,1.5,0.67,1.33,0.67,50.0,1.36,0.68,0.00,0.00,19.0,0.00,0.67,0.67,0.73,0.27,0.18,-0.07,-0.27,Matches
106,Zeki Çelik\Zeki-Celik,tr TUR,DF,fr Lille,22,1997,6.0,0.00,0.33,0.17,50.0,0.33,0.17,0.00,0.00,12.5,0.00,0.00,0.00,0.05,0.05,0.13,-0.05,-0.05,Matches
107,Murilo Cerqueira\Murilo-Cerqueira,br BRA,MFDF,ru Loko Moscow,22,1997,4.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
108,Franco Cervi\Franco-Cervi,ar ARG,MF,pt Benfica,25,1994,4.4,0.23,0.91,0.45,50.0,0.92,0.46,0.25,0.50,13.1,0.00,0.00,0.00,0.30,0.30,0.34,-0.07,-0.07,Matches
109,Leonardo César Jardim\Leonardo-Cesar-Jardim,br BRA,GK,fr Lille,24,1995,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
110,Rayan Cherki\Rayan-Cherki,fr FRA,MF,fr Lyon,15,2003,0.4,0.00,2.50,0.00,0.0,2.65,0.00,0.00,,10.3,0.00,0.00,0.00,0.25,0.25,0.08,-0.25,-0.25,Matches
111,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,es Valencia,28,1990,2.9,0.69,2.41,1.72,71.4,2.40,1.71,0.29,0.40,20.2,0.00,0.00,0.00,0.21,0.21,0.08,0.48,0.48,Matches
112,Chiquinho\Chiquinho,pt POR,MFFW,pt Benfica,24,1995,3.0,0.00,3.00,0.33,11.1,3.00,0.33,0.00,0.00,23.3,0.33,0.00,0.00,0.13,0.13,0.05,-0.13,-0.13,Matches
113,Andreas Christensen\Andreas-Christensen,dk DEN,DF,eng Chelsea,23,1996,4.0,0.00,0.25,0.00,0.0,0.25,0.00,0.00,,11.0,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
114,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,es Valencia,30,1989,6.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
115,Kingsley Coman\Kingsley-Coman,fr FRA,FW,de Bayern Munich,23,1996,6.1,0.49,2.95,0.98,33.3,2.95,0.98,0.17,0.50,14.4,0.00,0.00,0.00,0.46,0.46,0.16,0.03,0.03,Matches
116,Dion Cools\Dion-Cools,be BEL,MF,be Club Brugge,23,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
117,Francis Coquelin\Francis-Coquelin,fr FRA,MFDF,es Valencia,28,1991,4.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
118,Vedran Ćorluka\Vedran-Corluka,hr CRO,DF,ru Loko Moscow,33,1986,5.8,0.00,0.17,0.00,0.0,0.17,0.00,0.00,,6.0,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches
119,Maxwel Cornet\Maxwel-Cornet,ci CIV,DFMF,fr Lyon,22,1996,6.1,0.16,0.98,0.16,16.7,0.99,0.16,0.17,1.00,19.0,0.00,0.00,0.00,0.07,0.07,0.07,0.10,0.10,Matches
120,Carlos Coronel\Carlos-Coronel,br BRA,GK,at RB Salzburg,22,1996,2.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
